iter	Passed	Remaining
596	5526	3730
597	5536	3721
598	5544	3711
599	5552	3701
600	5561	3692
601	5570	3682
602	5578	3672
603	5586	3662
604	5595	3653
605	5604	3643
606	5612	3634
607	5620	3623
608	5628	3613
609	5637	3604
610	5646	3594
611	5654	3584
612	5662	3575
613	5670	3565
614	5678	3554
615	5686	3544
616	5694	3534
617	5703	3525
618	5712	3516
619	5722	3507
620	5731	3498
621	5740	3488
622	5749	3479
623	5758	3469
624	5766	3459
625	5776	3451
626	5785	3441
627	5794	3432
628	5803	3423
629	5810	3412
630	5819	3402
631	5827	3393
632	5836	3383
633	5844	3373
634	5855	3365
635	5864	3356
636	5873	3347
637	5881	3337
638	5890	3327
639	5898	3317
640	5906	3308
641	5914	3298
642	5923	3288
643	5931	3278
644	5940	3269
645	5949	3259
646	5957	3250
647	5966	3241
648	5974	3231
649	5983	3222
650	5992	3212
651	6001	3202
652	6009	3193
653	6017	3183
654	6026	3174
655	6034	3164
656	6042	3154
657	6051	3145
658	6059	3135
659	6067	3125
660	6076	3116
661	6085	3107
662	6094	3097
663	6103	3088
664	6113	3079
665	6121	3070
666	6131	3061
667	6140	3051
668	6148	3042
669	6157	3032
670	6167	3023
671	6180	3016
672	6190	3007
673	6198	2998
674	6208	2989
675	6217	2980
676	6227	2970
677	6236	2961
678	6245	2952
679	6253	2943
680	6263	2933
681	6273	2924
682	6282	2915
683	6292	2907
684	6300	2897
685	6309	2888
686	6318	2878
687	6326	2869
688	6335	2859
689	6343	2850
690	6352	2840
691	6360	2831
692	6369	2821
693	6378	2812
694	6389	2803
695	6397	2794
696	6406	2785
697	6416	2776
698	6424	2766
699	6433	2757
700	6441	2747
701	6450	2738
702	6459	2728
703	6467	2719
704	6476	2709
705	6484	2700
706	6492	2690
707	6500	2681
708	6509	2671
709	6517	2662
710	6525	2652
711	6534	2643
712	6543	2633
713	6552	2624
714	6560	2615
715	6569	2605
716	6578	2596
717	6586	2586
718	6594	2577
719	6602	2567
720	6611	2558
721	6619	2548
722	6628	2539
723	6636	2529
724	6644	2520
725	6652	2510
726	6660	2501
727	6668	2491
728	6676	2481
729	6684	2472
730	6693	2462
731	6702	2453
732	6711	2444
733	6720	2435
734	6728	2426
735	6737	2416
736	6746	2407
737	6754	2398
738	6763	2388
739	6771	2379
740	6780	2370
741	6789	2360
742	6798	2351
743	6806	2342
744	6814	2332
745	6823	2323
746	6831	2313
747	6840	2304
748	6849	2295
749	6857	2285
750	6865	2276
751	6873	2266
752	6882	2257
753	6890	2248
754	6902	2239
755	6912	2230
756	6920	2221
757	6929	2212
758	6937	2202
759	6945	2193
760	6954	2184
761	6964	2175
762	6972	2165
763	6980	2156
764	6988	2146
765	6997	2137
766	7005	2128
767	7014	2118
768	7021	2109
769	7030	2100
770	7039	2090
771	7047	2081
772	7055	2071
773	7064	2062
774	7073	2053
775	7083	2044
776	7092	2035
777	7100	2026
778	7110	2017
779	7122	2008
780	7132	1999
781	7141	1990
782	7151	1981
783	7160	1972
784	7169	1963
785	7178	1954
786	7188	1945
787	7198	1936
788	7207	1927
789	7218	1918
790	7227	1909
791	7236	1900
792	7244	1891
793	7253	1881
794	7262	1872
795	7271	1863
796	7279	1854
797	7289	1845
798	7298	1836
799	7307	1826
800	7315	1817
801	7323	1808
802	7332	1798
803	7341	1789
804	7351	1780
805	7359	1771
806	7368	1762
807	7375	1752
808	7384	1743
809	7392	1734
810	7401	1724
811	7410	1715
812	7417	1706
813	7425	1696
814	7434	1687
815	7442	1678
816	7451	1669
817	7459	1659
818	7468	1650
819	7477	1641
820	7486	1632
821	7495	1623
822	7504	1613
823	7512	1604
824	7520	1595
825	7529	1586
826	7537	1576
827	7545	1567
828	7555	1558
829	7563	1549
830	7572	1539
831	7580	1530
832	7589	1521
833	7597	1512
834	7606	1503
835	7615	1493
836	7624	1484
837	7634	1475
838	7642	1466
839	7650	1457
840	7658	1447
841	7666	1438
842	7674	1429
843	7683	1420
844	7693	1411
845	7702	1402
846	7711	1393
847	7720	1383
848	7730	1374
849	7738	1365
850	7746	1356
851	7755	1347
852	7763	1337
853	7773	1328
854	7781	1319
855	7790	1310
856	7798	1301
857	7808	1292
858	7817	1283
859	7824	1273
860	7834	1264
861	7842	1255
862	7851	1246
863	7860	1237
864	7869	1228
865	7877	1218
866	7885	1209
867	7898	1201
868	7910	1192
869	7919	1183
870	7927	1174
871	7936	1164
872	7945	1155
873	7954	1146
874	7963	1137
875	7972	1128
876	7980	1119
877	7988	1110
878	7996	1100
879	8004	1091
880	8013	1082
881	8021	1073
882	8030	1064
883	8038	1054
884	8048	1045
885	8058	1036
886	8068	1027
887	8078	1018
888	8088	1009
889	8097	1000
890	8107	991
891	8117	982
892	8126	973
893	8135	964
894	8144	955
895	8153	946
896	8163	937
897	8178	929
898	8187	919
899	8196	910
900	8205	901
901	8214	892
902	8223	883
903	8232	874
904	8241	865
905	8251	856
906	8260	846
907	8269	837
908	8278	828
909	8287	819
910	8297	810
911	8305	801
912	8314	792
913	8323	783
914	8332	774
915	8341	764
916	8349	755
917	8357	746
918	8366	737
919	8375	728
920	8383	719
921	8392	709
922	8401	700
923	8410	691
924	8422	682
925	8432	673
926	8440	664
927	8448	655
928	8456	646
929	8464	637
930	8472	627
931	8480	618
932	8489	609
933	8498	600
934	8506	591
935	8515	582
936	8524	573
937	8534	564
938	8543	554
939	8551	545
940	8560	536
941	8568	527
942	8577	518
943	8585	509
944	8594	500
945	8602	491
946	8610	481
947	8619	472
948	8627	463
949	8636	454
950	8644	445
951	8653	436
952	8662	427
953	8671	418
954	8679	408
955	8688	399
956	8697	390
957	8705	381
958	8714	372
959	8723	363
960	8731	354
961	8740	345
962	8748	336
963	8757	327
964	8765	317
965	8773	308
966	8782	299
967	8790	290
968	8803	281
969	8811	272
970	8820	263
971	8828	254
972	8837	245
973	8847	236
974	8855	227
975	8864	217
976	8872	208
977	8881	199
978	8889	190
979	8898	181
980	8907	172
981	8916	163
982	8925	154
983	8935	145
984	8943	136
985	8952	127
986	8961	118
987	8972	108
988	8980	99
989	8991	90
990	9000	81
991	9009	72
992	9018	63
993	9026	54
994	9035	45
995	9045	36
996	9054	27
997	9063	18
998	9072	9
999	9081	0
